work_order,site_name,site_address,site_city,site_state,latitude,longitude,jp_status,jp_priority,due_date,sow_1,flag_missing_due_date,flag_past_due,flag_estimated_time,tank_test_only,is_recurring_site,night_test,days_til_due,tech_count,zone_3,region,duration,cluster_id,created_at,updated_at
66902,Maverik 5279,3033 8th Ave,Evans,CO,40.385139,-104.691717,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67302,Maverik 642,7490 SW Frontage Rd,Fort Collins,CO,40.481937,-104.992584,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,1.25,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67506,Agfinity Lucerne Bulk Plant,32461 Weld County Rd. 39,Lucerne,CO,40.473172,-104.697307,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67233,Agfinity Inc. Mead 724,201 3rd St,Mead,CO,40.233969,-104.998991,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
66907,Maverik 5149,2901 37th St,Evans,CO,40.378462,-104.725798,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67209,Far Better Convenience,101 S Quentine Ave,Milliken,CO,40.330006,-104.868381,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,0.5,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67211,Gilcrest Bulk Plant,19480 Hwy 85,Gilcrest,CO,40.282626,-104.776585,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,1.5,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67714,Now or Never Trucking,1925 1st Ave,Greeley,CO,40.407083,-104.678037,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,0.25,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67642,Maverik 5319,375 E Main Street,Windsor,CO,40.47973,-104.893713,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,1.0,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67232,eeley U-Fill-It,227 8th St,Greeley,CO,40.424886,-104.680708,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,1.0,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67143,Tri State Commodities,1312 N 7th Ave,Greeley,CO,40.448293,-104.69079,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,0.5,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67066,Maverik 5320,4330 Clydesdale Pkwy,Loveland,CO,40.436435,-104.987608,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67075,Maverik 5261,1600 E Eisenhower Blvd,Loveland,CO,40.406766,-105.054413,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,1.0,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67074,Maverik 5199,115 Knobcone Dr,Loveland,CO,40.438639,-105.076918,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,1.0,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67139,Gasamat #520,301 Martin Street,Longmont,CO,40.163934,-105.093216,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67695,Maverik 5408,450 Crossroads Blvd,Windsor,CO,40.441,-104.88924,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,1.0,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67144,Maverik 5260,6503 29th St,Greeley,CO,40.391004,-104.785582,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67053,Agfinity Inc. Gateway Greeley 711,2449 35th Ave,Greeley,CO,40.396743,-104.735494,unscheduled,Monthly O&M,2025-09-30,"OFV, MOI, ACI, VLT, LDT, ATG",False,False,True,False,False,False,71.0,10.0,"40.0,-105.0",CO - NoCo,7.5,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67715,Maverik 5203,127 Laura Way,Dacono,CO,40.087113,-104.974435,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,1.0,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67267,Vestas Blades America Inc - Brighton,1500 E Crown Prince Blvd,Brighton,CO,40.019982,-104.807176,Scheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-105.0",CO - NoCo,0.5,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67425,Maverik 5391,1265 Grand Market Ave,Berthoud,CO,40.337846,-105.094367,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - NoCo,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
66498,Maverik 520,651 SE Frontage Rd,Fort Collins,CO,40.580393,-104.997413,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"41.0,-105.0",CO - NoCo,1.0,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67693,Metro Gas and Convenience ,201 Highway 85,Ault,CO,40.583691,-104.732331,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-105.0",CO - NoCo,0.75,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67708,Ault Conoco,203 S Hwy 85,Ault,CO,40.583551,-104.732017,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-105.0",CO - NoCo,0.75,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67032,74 XPress,325 W 4th Ave,Severance,CO,40.522902,-104.856918,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-105.0",CO - NoCo,0.75,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67699,Eaton U-Fill-It,380 Oak Street,Eaton,CO,40.529851,-104.711836,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-105.0",CO - NoCo,1.0,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
69148,Maverik 5401,6730 Innovate Place,Timnath,CO,40.522179,-104.953442,Scheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"41.0,-105.0",CO - NoCo,0.75,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67028,Gasamat #110,1054 W. Vine Dr.,Fort Collins,CO,40.596311,-105.09413,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-105.0",CO - NoCo,0.5,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
70535,Magnolia Street Market,710 E Magnolia St,Fort Collins,CO,40.583011,-105.065947,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-105.0",CO - NoCo,0.75,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67519,Maverik 5150,8150 6th St,Wellington,CO,40.703265,-104.999904,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"41.0,-105.0",CO - NoCo,1.0,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67261,Maverik 5392,90 W Veterans Dr,Keenesburg,CO,40.114964,-104.521856,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-105.0",CO - Northeast,1.0,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67689,CRVS #2,20974 US Hwy 6,Sterling,CO,40.618077,-103.182866,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-103.0",CO - Northeast,2.0,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67691,Gasamat #104,1001 W Main St,Sterling,CO,40.625096,-103.224782,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-103.0",CO - Northeast,0.5,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67526,River Station,1912 US Hwy 6,Sterling,CO,40.607573,-103.217562,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-103.0",CO - Northeast,1.25,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67763,Briggsdale Service Station,38657 Highway 14,Briggsdale,CO,40.639717,-104.32248,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-104.0",CO - Northeast,0.75,3.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67272,Grand Lake Station fka Lakeview General Store,14626 US Highway 34,Grand Lake,CO,40.248123,-105.838592,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"40.0,-106.0",CO - Northwest,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67284,Maverik 5148,605 E Park Ave,Kremmling,CO,40.059257,-106.387773,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-106.0",CO - Northwest,1.25,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67265,Maverik 5201,308 Agate Ave,Granby,CO,40.085905,-105.947035,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-106.0",CO - Northwest,1.25,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67291,Maverik 5077,80 Anglers Dr,Steamboat Springs,CO,40.468382,-106.827102,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-107.0",CO - Northwest,1.0,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67238,Maverik 5368,230 West Jefferson Avenue,Hayden,CO,40.495092,-107.259366,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-107.0",CO - Northwest,1.25,2.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67258,Maverik 5010,317 E Main St,Rangely,CO,40.087038,-108.800217,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"40.0,-109.0",CO - Northwest,1.5,3.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67273,Maverik 5115,2032 Curve Plz,Steamboat Springs,CO,40.502083,-106.857459,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"41.0,-107.0",CO - Northwest,1.25,4.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67252,City Of Craig - Recycling Center,1775 N Yampa St,Craig,CO,40.543024,-107.544559,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-108.0",CO - Northwest,0.5,5.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67255,Maverik 5008,895 Yampa Ave,Craig,CO,40.521141,-107.546948,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"41.0,-108.0",CO - Northwest,0.75,5.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67312,Maverik 5009,1302 W Victory Way,Craig,CO,40.513788,-107.563134,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"41.0,-108.0",CO - Northwest,1.25,5.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67266,Maverik 5013,700 Victory Way East,Craig,CO,40.513748,-107.538842,unscheduled,Monthly O&M,2025-09-25,MOI,False,False,False,False,False,False,66.0,11.0,"41.0,-108.0",CO - Northwest,1.25,5.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67248,City of Craig North Shop,1710 Yampa Ave,Craig,CO,40.535485,-107.547377,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-108.0",CO - Northwest,1.0,5.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67235,Transportation Facility,998 Rose Street,Craig,CO,40.52325,-107.54384,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"41.0,-108.0",CO - Northwest,0.75,5.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67239,Gasamat #179,1519 E Main St,Trinidad,CO,37.174955,-104.491309,unscheduled,Monthly O&M,2025-09-30,MOI,False,False,False,False,False,False,71.0,11.0,"37.0,-104.0",CO - Southeast,0.75,1.0,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
67784,SCL Lutheran Medical Center,8300 W 38th Ave,Wheat Ridge,CO,39.768302,-105.090488,unscheduled,Service,2025-09-30,MOI,False,False,False,False,True,False,71.0,11.0,"40.0,-105.0",CO - Denver Metro,0.75,,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
46047,King Soopers 124,4630 South Leetsdale Drive,Glendale,CO,39.709402,-104.932803,unscheduled,3 Year,2025-09-14,"SCT, SCT",False,False,False,False,False,False,55.0,10.0,"40.0,-105.0",CO - Denver Metro,5.0,,2025-07-31T22:30:23.046954+00:00,2025-07-31T22:30:23.046954+00:00
